Bankleitzahl,Bezeichnung,BIC
12096597,Sparda-Bank Berlin,
12096597,Sparda-Bank Berlin,
12096597,Sparda-Bank Berlin,
12096597,Sparda-Bank Berlin,
12096597,Sparda-Bank Berlin,
12096597,Sparda-Bank Berlin,
12096597,Sparda-Bank Berlin,
12096597,Sparda-Bank Berlin,
12096597,Sparda-Bank Berlin,
12096597,Sparda-Bank Berlin,
12096597,Sparda-Bank Berlin,
12096597,Sparda-Bank Berlin,
12096597,Sparda-Bank Berlin,
12096597,Sparda-Bank Berlin,
12096597,Sparda-Bank Berlin,
12096597,Sparda-Bank Berlin,
12096597,Sparda-Bank Berlin,
12096597,Sparda-Bank Berlin,
12096597,Sparda-Bank Berlin,
13000000,Bundesbank,MARKDEF1130
13010111,SEB,ESSEDE5F130
13010111,SEB,ESSEDE5F131
13010111,SEB,ESSEDE5F132
13040000,Commerzbank,COBADEFF130
13040000,Commerzbank,COBADEFF131
13040000,Commerzbank,
13050000,Ostseesparkasse Rostock,NOLADE21ROS
13050000,Ostseesparkasse Rostock,
13050000,Ostseesparkasse Rostock,
13050000,Ostseesparkasse Rostock,
13050000,Ostseesparkasse Rostock,
13051042,Sparkasse Rügen,NOLADE21RUE
13061008,Volksbank Wolgast,GENODEF1WOG
13061008,Volksbank Wolgast (Gf P2),
13061028,Volksbank Raiffeisenbank ehem VB Greifswald,GENODEF1GW1
13061078,Volks- und Raiffeisenbank,GENODEF1HWI
13061078,Volks- und Raiffeisenbank,
13061078,Volks- und Raiffeisenbank,
13061078,Volks- und Raiffeisenbank,
13061078,Volks- und Raiffeisenbank,
13061078,Volks- und Raiffeisenbank,
13061078,Volks- und Raiffeisenbank,
13061078,Volks- und Raiffeisenbank,
13061078,Volks- und Raiffeisenbank,
13061078,Volks- und Raiffeisenbank,
13061078,Volks- und Raiffeisenbank,
13061078,Volks- und Raiffeisenbank,
13061078,Volks- und Raiffeisenbank,
13061078,Volks- und Raiffeisenbank (Gf P2),
13061088,Raiffeisenbank Wismar -alt-,GENODEF1HWR
13061128,Raiffeisenbank,GENODEF1DBR
13061128,Raiffeisenbank (Gf P2),
13070000,Deutsche Bank,DEUTDEBRXXX
13070000,Deutsche Bank,DEUTDEBB151
13070000,Deutsche Bank,DEUTDEBR131
13070000,Deutsche Bank,DEUTDEBR133
13070000,Deutsche Bank,DEUTDEBB130
13070000,Deutsche Bank,DEUTDEBB131
13070000,Deutsche Bank,DEUTDEBR134
13070000,Deutsche Bank,
13070000,Deutsche Bank,DEUTDEBR135
13070000,Deutsche Bank,DEUTDEBB141
13070000,Deutsche Bank,DEUTDEBB142
13070000,Deutsche Bank,DEUTDEBB143
13070000,Deutsche Bank,DEUTDEBB144
13070000,Deutsche Bank,DEUTDEBB152
13070000,Deutsche Bank,DEUTDEBB150
13070000,Deutsche Bank,DEUTDEBB153
13070000,Deutsche Bank,DEUTDEBB154
13070000,Deutsche Bank,DEUTDEBR136
13070000,Deutsche Bank,DEUTDEBB140
13070000,Deutsche Bank,DEUTDEBR138
13070000,Deutsche Bank,DEUTDEBB155
13070000,Deutsche Bank,DEUTDEBB156
13070000,Deutsche Bank,DEUTDEBB179
13070000,Deutsche Bank,DEUTDEBB148
13070000,Deutsche Bank,DEUTDEBB149
13070000,Deutsche Bank,DEUTDEBB159
13070000,Deutsche Bank,DEUTDEBB132
13070000,Deutsche Bank,DEUTDEBB145
13070000,Deutsche Bank,DEUTDEBB146
13070000,Deutsche Bank,DEUTDEBB147
13070000,Deutsche Bank,
13070000,Deutsche Bank,DEUTDEBR137
